SKU,Наличност,Бройки,Цена
100929,Наличен,95,19.50
951385,Изчерпан,0,28.80
951384,Наличен,5,28.80
946379,Наличен,5,40.60
924606,Наличен,34,21.30
921166,Наличен,64,5.00
921134,Наличен,62,6.30
921133,Наличен,61,4.50
921135,Наличен,52,6.80
921136,Наличен,6,24.50
923344,Наличен,10,37.80
932279,Наличен,16,1.40
932282,Наличен,68,1.50
932283,Наличен,98,1.50
932284,Наличен,136,1.50
932280,Наличен,138,1.50
932285,Наличен,6,2.80
932288,Наличен,130,3.50
932289,Наличен,13,2.90
932294,Наличен,145,2.20
932272,Наличен,178,12.30
934793,Изчерпан,0,36.30
920602,Наличен,35,1.90
932177,Наличен,172,2.80
932178,Наличен,170,2.60
932179,Наличен,26,2.30
932180,Наличен,139,3.80
932181,Наличен,92,4.50
932183,Наличен,60,4.50
932184,Наличен,135,4.50
932185,Наличен,28,4.90
932187,Наличен,9,24.00
932188,Наличен,55,18.80
932190,Наличен,201,14.80
937168,Наличен,54,3.90
100910,Наличен,142,6.30
938042,Изчерпан,0,43.10
250701,Изчерпан,0,4.10
932125,Наличен,85,12.50
932124,Наличен,183,23.30
924603,Наличен,52,14.80
924604,Наличен,99,6.00
251630,Наличен,205,3.80
939729,Наличен,5,34.30
939730,Наличен,4,45.50
942019,Изчерпан,0,23.30
251634,Наличен,56,15.80
251628,Наличен,33,2.90
251625,Наличен,38,3.30
921158,Наличен,42,17.30
251629,Изчерпан,0,6.50
921159,Наличен,27,3.50
921161,Наличен,183,4.40
956444,Наличен,20,240.00
956446,Наличен,3,430.00
956447,Наличен,3,590.00
954248,Наличен,8,365.00
944977,Наличен,12,7.50
944978,Наличен,15,8.30
944979,Наличен,3,10.50
945768,Наличен,120,5.60
947175,Наличен,70,35.80
947049,Наличен,2,53.00
947398,Наличен,207,8.30
947397,Наличен,117,4.50
947822,Наличен,110,5.80
947821,Наличен,146,12.30
947820,Наличен,125,13.50
948598,Наличен,1,24.90
959385,Наличен,7,265.00
954247,Наличен,3,370.00
949235,Наличен,5,35.20
